CURVE,X,Y
302,0,0.1
1253,0,0.13
469,0,0.13
423,0,0.15
1435,0,0.17
1021,0,0.18
429,0,0.15
214,0,0.18
1887,0,0.19
581,0,0.19
576,0,0.19
209,0,0.18
63,0,0.2
38,0,0.15
16,0,0.1
678,0,0.21
652,0,0.23
1182,0,0.25
1077,0,0.23
504,0,0.23
1433,0,0.26
920,0,0.3
3775,0,0.32
1673,0,0.32
1434,0,0.34
1425,0,0.39
916,0,0.3
677,0,0.28
1272,0,0.39
709,0,0.4
311,0,0.4
289,0,0.39
676,0,0.51
424,0,0.6
147,0,0.4
40,0,0.25
864,0,0.61
430,0,0.6
3774,0,0.68
1672,0,0.68
1421,0,0.61
290,0,0.61
131,0,0.7
39,0,0.6
17,0,0.2
11,0,0.2
1081,0,0.77
509,0,0.77
505,0,0.77
109,0,0.7
1100,0,0.8
992,0,0.81
2501,0,0.81
2162,0,0.82
577,0,0.81
250,0,0.8
962,0,0.82
2065,0,0.85
750,0,0.85
745,0,0.85
482,0,0.87
1249,0,0.87
474,0,1
480,0,1
480,5,1
480,6,0
470,0,0.87
210,0,0.82
64,0,0.8
10,0,0.7
9,0,0.1
402,50,0
402,51,1
402,52,0
1735,43,0
1735,44,1
1735,45,0
167,43,0
167,44,1
167,45,0
409,60,0
409,61,1
409,62,0
1210,55,0
1210,56,1
1210,57,0
267,55,0
267,56,1
267,57,0
1217,65,0
1217,66,1
1217,67,0
274,65,0
274,66,1
274,67,0
1750,63,0
1750,64,1
1750,65,0
91,63,0
91,64,1
91,65,0
1743,53,0
1743,54,1
1743,55,0
84,53,0
84,54,1
84,55,0
74,39,0
259,39,0
259,40,0.2
259,41,0
715,39,0
715,40,0.4
715,41,0
321,39,0
321,40,0.4
321,41,0
158,39,0
158,40,0.2
158,41,0
157,39,0
157,40,0.4
157,41,0
1203,39,0
1203,40,1
1203,41,0
1108,39,0
1108,40,0.8
1108,41,0
260,39,0
260,40,0.8
260,41,0
2553,39,0
2553,40,1.3
2553,41,0
2554,39,0
2554,40,2.6
2554,41,0
2552,39,0
2552,40,2.7
2552,41,0
319,39,0
319,40,2.6
319,41,0
318,39,0
318,40,1.3
318,41,0
1291,39,0
1291,40,2.7
1291,41,0
1201,39,0
1201,40,6.1
1201,41,0
317,39,0
317,40,2.7
317,41,0
2286,39,0
2286,40,6.6
2286,41,0
2040,39,0
2040,40,6.1
2040,41,0
2389,39,0
2389,40,15.8
2389,41,0
543,39,0
543,40,6.6
543,41,0
320,39,0
320,40,6.6
320,41,0
256,39,0
256,40,6.1
256,41,0
819,39,0
819,40,15.8
819,41,0
393,39,0
393,40,16.9
393,41,0
154,39,0
154,40,15.8
154,41,0
77,39,0
77,40,1
77,41,0
76,39,0
76,40,0.8
76,41,0
75,39,0
75,40,0.2
75,41,0
2141,39,0
2141,40,19.2
2141,41,0
1202,39,0
1202,40,24.5
1202,41,0
2807,39,0
2807,40,30.6
2807,41,0
1106,39,0
1106,40,24.5
1106,41,0
2390,39,0
2390,40,31.6
2390,41,0
1107,39,0
1107,40,30.6
1107,41,0
258,39,0
258,40,30.6
258,41,0
257,39,0
257,40,24.5
257,41,0
1940,39,0
1940,40,31.7
1940,41,0
820,39,0
820,40,31.6
820,41,0
155,39,0
155,40,31.6
155,41,0
818,39,0
818,40,31.7
818,41,0
2900,39,0
2900,40,76.9
2900,41,0
781,39,0
781,40,67.5
781,41,0
394,39,0
394,40,67.5
394,41,0
153,39,0
153,40,31.7
153,41,0
2634,39,0
2634,40,84.4
2634,41,0
714,39,0
714,40,79.1
714,41,0
782,39,0
782,40,84.4
782,41,0
395,39,0
395,40,84.4
395,41,0
156,39,0
156,40,79.1
156,41,0
73,39,0
73,40,96.1
73,41,0
72,39,0
72,40,76.9
72,41,0
71,39,0
71,40,19.2
71,41,0
61,9,0
1196,9,0
1196,10,1
1196,11,0
62,9,0
62,10,1
62,11,0
416,70,0
416,71,1
416,72,0
369,79,0
502,79,0
502,80,0.1
694,79,0
694,80,0.1
1262,79,0
1262,80,0.13
757,79,0
757,80,0.15
501,79,0
501,80,0.2
492,79,0
492,80,0.13
374,79,0
374,80,0.1
3819,79,0
3819,80,0.23
693,79,0
693,80,0.2
3694,79,0
3694,80,0.23
516,79,0
516,80,0.23
3077,79,0
3077,80,0.7
665,79,0
665,80,0.77
2075,79,0
2075,80,0.85
1088,79,0
1088,80,0.77
758,79,0
758,80,0.85
517,79,0
517,80,0.77
503,79,0
503,80,0.7
3070,79,0
3070,80,0.87
857,79,0
857,80,0.87
493,79,0
493,80,0.87
494,79,0
494,80,1
489,79,0
489,80,1
489,100,1
489,101,0
375,79,0
375,80,0.7
373,79,0
373,80,0.2
2080,79,0
2080,80,50.4
2080,90,57.5
2080,100,64.2
2080,110,70.2
2080,120,75.7
2080,130,80.9
2080,140,85.6
2669,79,0
2669,80,58.1
2669,90,66.3
2669,100,73.8
2669,110,80.7
2669,120,87.1
2669,130,92.9
862,79,0
862,80,58.1
862,90,66.3
862,100,73.8
862,110,80.7
862,120,87.1
862,130,92.9
3196,79,0
3196,80,50.4
3196,90,57.5
3196,100,64.2
3196,110,70.2
3196,120,75.7
3196,130,80.9
3196,140,85.6
3181,79,0
3181,80,50.4
3181,90,57.5
3181,100,64.2
3181,110,70.2
3181,120,75.7
3181,130,80.9
3181,140,85.6
763,79,0
763,80,50.4
763,90,57.5
763,100,64.2
763,110,70.2
763,120,75.7
763,130,80.9
763,140,85.6
1267,79,0
1267,80,58.1
1267,90,66.3
1267,100,73.8
1267,110,80.7
1267,120,87.1
1267,130,92.9
1144,79,0
1144,80,60.4
1144,90,68.8
1144,100,76.9
1144,110,84
1144,120,90.7
1144,130,96.8
1144,140,102.5
1573,79,0
1573,80,60.4
1573,90,68.8
1573,100,76.9
1573,110,84
1573,120,90.7
1573,130,96.8
1573,140,102.5
670,79,0
670,80,60.4
670,90,68.8
670,100,76.9
670,110,84
670,120,90.7
670,130,96.8
670,140,102.5
3772,79,0
3772,80,58.1
3772,90,66.3
3772,100,73.8
3772,110,80.7
3772,120,87.1
3772,130,92.9
3075,79,0
3075,80,58.1
3075,90,66.3
3075,100,73.8
3075,110,80.7
3075,120,87.1
3075,130,92.9
3166,79,0
3166,80,58.1
3166,90,66.3
3166,100,73.8
3166,110,80.7
3166,120,87.1
3166,130,92.9
1670,79,0
1670,80,58.1
1670,90,66.3
1670,100,73.8
1670,110,80.7
1670,120,87.1
1670,130,92.9
499,79,0
499,80,58.1
499,90,66.3
499,100,73.8
499,110,80.7
499,120,87.1
