CURVE,X,Y
307,0,0.1
1262,0,0.13
477,0,0.13
433,0,0.15
1439,0,0.17
1025,0,0.18
439,0,0.15
219,0,0.18
1886,0,0.19
594,0,0.19
589,0,0.19
214,0,0.18
63,0,0.2
38,0,0.15
16,0,0.1
691,0,0.21
665,0,0.23
1191,0,0.25
1085,0,0.23
512,0,0.23
1437,0,0.26
1514,0,0.3
690,0,0.28
316,0,0.3
3772,0,0.32
1681,0,0.32
1438,0,0.34
1429,0,0.39
1281,0,0.39
689,0,0.51
434,0,0.6
294,0,0.39
147,0,0.3
40,0,0.25
874,0,0.61
3771,0,0.68
1680,0,0.68
1425,0,0.61
295,0,0.61
148,0,0.6
131,0,0.7
39,0,0.6
17,0,0.2
11,0,0.2
1089,0,0.77
517,0,0.77
513,0,0.77
109,0,0.7
1108,0,0.8
996,0,0.81
2500,0,0.81
2152,0,0.82
590,0,0.81
255,0,0.8
966,0,0.82
2065,0,0.85
766,0,0.85
761,0,0.85
490,0,0.87
1258,0,0.87
482,0,1
488,0,1
488,5,1
488,6,0
478,0,0.87
215,0,0.82
64,0,0.8
10,0,0.7
9,0,0.1
412,50,0
412,51,1
412,52,0
1747,43,0
1747,44,1
1747,45,0
172,43,0
172,44,1
172,45,0
419,60,0
419,61,1
419,62,0
1219,55,0
1219,56,1
1219,57,0
272,55,0
272,56,1
272,57,0
1226,65,0
1226,66,1
1226,67,0
279,65,0
279,66,1
279,67,0
1763,63,0
1763,64,1
1763,65,0
91,63,0
91,64,1
91,65,0
1755,53,0
1755,54,1
1755,55,0
84,53,0
84,54,1
84,55,0
74,39,0
731,39,0
731,40,0.1
731,41,0
330,39,0
330,40,0.1
330,41,0
162,39,0
162,40,0.1
162,41,0
1522,39,0
1522,40,0.3
1522,41,0
1116,39,0
1116,40,0.2
1116,41,0
329,39,0
329,40,0.3
329,41,0
264,39,0
264,40,0.2
264,41,0
1523,39,0
1523,40,0.6
1523,41,0
331,39,0
331,40,0.6
331,41,0
163,39,0
163,40,0.6
163,41,0
161,39,0
161,40,0.3
161,41,0
2277,39,0
2277,40,0.9
2277,41,0
1117,39,0
1117,40,0.8
1117,41,0
1212,39,0
1212,40,1
1212,41,0
554,39,0
554,40,0.9
554,41,0
326,39,0
326,40,0.9
326,41,0
265,39,0
265,40,0.8
265,41,0
2276,39,0
2276,40,1.8
2276,41,0
553,39,0
553,40,1.8
553,41,0
1301,39,0
1301,40,3.9
1301,41,0
1210,39,0
1210,40,6.1
1210,41,0
555,39,0
555,40,3.9
555,41,0
327,39,0
327,40,3.9
327,41,0
325,39,0
325,40,1.8
325,41,0
2278,39,0
2278,40,6.6
2278,41,0
2040,39,0
2040,40,6.1
2040,41,0
2384,39,0
2384,40,10.5
2384,41,0
728,39,0
728,40,10.5
728,41,0
556,39,0
556,40,6.6
556,41,0
328,39,0
328,40,6.6
328,41,0
261,39,0
261,40,6.1
261,41,0
403,39,0
403,40,16.9
403,41,0
158,39,0
158,40,10.5
158,41,0
77,39,0
77,40,1
77,41,0
76,39,0
76,40,0.8
76,41,0
75,39,0
75,40,0.2
75,41,0
2131,39,0
2131,40,19.2
2131,41,0
1521,39,0
1521,40,21.1
1521,41,0
1211,39,0
1211,40,24.5
1211,41,0
835,39,0
835,40,21.1
835,41,0
2809,39,0
2809,40,30.6
2809,41,0
1114,39,0
1114,40,24.5
1114,41,0
2227,39,0
2227,40,47.5
2227,41,0
1115,39,0
1115,40,30.6
1115,41,0
729,39,0
729,40,47.5
729,41,0
263,39,0
263,40,30.6
263,41,0
262,39,0
262,40,24.5
262,41,0
2890,39,0
2890,40,76.9
2890,41,0
797,39,0
797,40,67.5
797,41,0
404,39,0
404,40,67.5
404,41,0
159,39,0
159,40,47.5
159,41,0
157,39,0
157,40,21.1
157,41,0
2629,39,0
2629,40,84.4
2629,41,0
730,39,0
730,40,79.1
730,41,0
798,39,0
798,40,84.4
798,41,0
405,39,0
405,40,84.4
405,41,0
160,39,0
160,40,79.1
160,41,0
73,39,0
73,40,96.1
73,41,0
72,39,0
72,40,76.9
72,41,0
71,39,0
71,40,19.2
71,41,0
61,9,0
1205,9,0
1205,10,1
1205,11,0
62,9,0
62,10,1
62,11,0
426,70,0
426,71,1
426,72,0
379,79,0
510,79,0
510,80,0.1
707,79,0
707,80,0.1
1271,79,0
1271,80,0.13
773,79,0
773,80,0.15
509,79,0
509,80,0.2
500,79,0
500,80,0.13
384,79,0
384,80,0.1
3825,79,0
3825,80,0.23
706,79,0
706,80,0.2
3684,79,0
3684,80,0.23
524,79,0
524,80,0.23
3059,79,0
3059,80,0.7
678,79,0
678,80,0.77
2075,79,0
2075,80,0.85
1096,79,0
1096,80,0.77
774,79,0
774,80,0.85
525,79,0
525,80,0.77
511,79,0
511,80,0.7
3052,79,0
3052,80,0.87
867,79,0
867,80,0.87
501,79,0
501,80,0.87
502,79,0
502,80,1
497,79,0
497,80,1
497,100,1
497,101,0
385,79,0
385,80,0.7
383,79,0
383,80,0.2
2080,79,0
2080,80,50.4
2080,90,57.5
2080,100,64.2
2080,110,70.2
2080,120,75.7
2080,130,80.9
2080,140,85.6
2664,79,0
2664,80,58.1
2664,90,66.3
2664,100,73.8
2664,110,80.7
2664,120,87.1
2664,130,92.9
872,79,0
872,80,58.1
872,90,66.3
872,100,73.8
872,110,80.7
872,120,87.1
872,130,92.9
3180,79,0
3180,80,50.4
3180,90,57.5
3180,100,64.2
3180,110,70.2
3180,120,75.7
3180,130,80.9
3180,140,85.6
3165,79,0
3165,80,50.4
3165,90,57.5
3165,100,64.2
3165,110,70.2
3165,120,75.7
3165,130,80.9
3165,140,85.6
779,79,0
779,80,50.4
779,90,57.5
779,100,64.2
779,110,70.2
779,120,75.7
779,130,80.9
779,140,85.6
1276,79,0
1276,80,58.1
1276,90,66.3
1276,100,73.8
1276,110,80.7
1276,120,87.1
1276,130,92.9
1153,79,0
1153,80,60.4
1153,90,68.8
1153,100,76.9
1153,110,84
1153,120,90.7
1153,130,96.8
1153,140,102.5
1584,79,0
1584,80,60.4
1584,90,68.8
1584,100,76.9
1584,110,84
1584,120,90.7
1584,130,96.8
1584,140,102.5
683,79,0
683,80,60.4
683,90,68.8
683,100,76.9
683,110,84
683,120,90.7
683,130,96.8
683,140,102.5
3769,79,0
3769,80,58.1
3769,90,66.3
3769,100,73.8
3769,110,80.7
3769,120,87.1
3769,130,92.9
3057,79,0
3057,80,58.1
3057,90,66.3
3057,100,73.8
3057,110,80.7
3057,120,87.1
3057,130,92.9
3150,79,0
3150,80,58.1
3150,90,66.3
3150,100,73.8
3150,110,80.7
3150,120,87.1
3150,130,92.9
1678,79,0
1678,80,58.1
1678,90,66.3
1678,100,73.8
1678,110,80.7
1678,120,87.1
1678,130,92.9
507,79,0
507,80,58.1
507,90,66.3
507,100,73.8
