TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,30,756,CC,false,2,A,0,0,,0,
4,54,756,CC,false,4,A,0,0,,0,
4,10,10,PCT,false,5,A,0,0,,0,
5,54,756,CC,false,4,A,0,0,,0,
5,40,40,CT,false,6,A,0,0,,0,
6,54,756,CC,false,4,A,0,0,,0,
8,82,756,CC,false,8,A,0,0,,0,
10,58,756,CC,false,10,A,0,0,,0,
10,10,10,PCT,false,11,A,0,0,,0,
11,58,756,CC,false,10,A,0,0,,0,
11,40,40,CT,false,12,A,0,0,,0,
12,58,756,CC,false,10,A,0,0,,0,
14,90,756,CC,false,15,A,0,0,,0,
15,90,756,CC,false,15,A,0,0,,0,
17,94,756,CC,false,17,A,0,0,,0,
19,62,756,CC,false,20,A,0,0,,0,
20,62,756,CC,false,20,A,0,0,,0,
22,58,756,CC,false,22,A,0,0,,0,
24,58,756,CC,false,24,A,0,0,,0,
24,10,10,PCT,false,25,A,0,0,,0,
25,58,756,CC,false,24,A,0,0,,0,
25,40,40,CT,false,26,A,0,0,,0,
26,58,756,CC,false,24,A,0,0,,0,
28,78,756,CC,false,29,A,0,0,,0,
29,78,756,CC,false,29,A,0,0,,0,
31,58,756,CC,false,22,A,0,0,,0,
33,82,756,CC,false,8,A,0,0,,0,
35,58,756,CC,false,10,A,0,0,,0,
37,74,756,CC,false,38,A,0,0,,0,
38,74,756,CC,false,38,A,0,0,,0,
40,66,756,CC,false,41,A,0,0,,0,
41,66,756,CC,false,41,A,0,0,,0,
43,94,756,CC,false,17,A,0,0,,0,
46,66,756,CC,false,47,A,0,0,,0,
47,66,756,CC,false,47,A,0,0,,0,
49,58,756,CC,false,24,A,0,0,,0,
52,58,756,CC,false,53,A,0,0,,0,
53,58,756,CC,false,53,A,0,0,,0,
56,54,756,CC,false,4,A,0,0,,0,
