CURVE,X,Y
1085,90,68.8
1085,100,76.9
1085,110,84
1085,120,90.7
1085,130,96.8
1085,140,102.5
1482,79,0
1482,80,60.4
1482,90,68.8
1482,100,76.9
1482,110,84
1482,120,90.7
1482,130,96.8
1482,140,102.5
644,79,0
644,80,60.4
644,90,68.8
644,100,76.9
644,110,84
644,120,90.7
644,130,96.8
644,140,102.5
3459,79,0
3459,80,58.1
3459,90,66.3
3459,100,73.8
3459,110,80.7
3459,120,87.1
3459,130,92.9
2804,79,0
2804,80,58.1
2804,90,66.3
2804,100,73.8
2804,110,80.7
2804,120,87.1
2804,130,92.9
2887,79,0
2887,80,58.1
2887,90,66.3
2887,100,73.8
2887,110,80.7
2887,120,87.1
2887,130,92.9
1572,79,0
1572,80,58.1
1572,90,66.3
1572,100,73.8
1572,110,80.7
1572,120,87.1
1572,130,92.9
481,79,0
481,80,58.1
481,90,66.3
481,100,73.8
481,110,80.7
481,120,87.1
481,130,92.9
358,79,0
358,80,1
352,79,0
352,80,1
352,100,1
352,101,0
2961,79,0
2961,80,60.4
2961,90,68.8
2961,100,76.9
2961,110,84
2961,120,90.7
2961,130,96.8
2961,140,102.5
3393,79,0
3393,80,60.4
3393,90,68.8
3393,100,76.9
3393,110,84
3393,120,90.7
3393,130,96.8
3393,140,102.5
2300,79,0
2300,80,60.4
2300,90,68.8
2300,100,76.9
2300,110,84
2300,120,90.7
2300,130,96.8
2300,140,102.5
3009,79,0
3009,80,91.8
3009,90,104.1
3009,100,116
2874,79,0
2874,80,91.8
2874,90,104.1
2874,100,116
1940,79,0
1940,80,100.8
1940,90,115
1940,100,128.4
1940,110,140.4
1940,120,151.5
1940,130,161.7
1940,140,171.2
821,79,0
821,80,116.2
821,90,132.7
821,100,147.6
821,110,161.3
821,120,174.1
821,130,185.7
2916,79,0
2916,80,100.8
2916,90,115
2916,100,128.4
2916,110,140.4
2916,120,151.5
2916,130,161.7
2916,140,171.2
2901,79,0
2901,80,100.8
2901,90,115
2901,100,128.4
2901,110,140.4
2901,120,151.5
2901,130,161.7
2901,140,171.2
729,79,0
729,80,100.8
729,90,115
729,100,128.4
729,110,140.4
729,120,151.5
729,130,161.7
729,140,171.2
3452,79,0
3452,80,75.6
3452,90,86.2
3452,100,95.9
3452,110,104.8
3452,120,113.2
3452,130,120.7
2895,79,0
2895,80,75.6
2895,90,86.2
2895,100,96.3
2895,110,105.3
2895,120,113.6
2895,130,121.3
2895,140,128.4
3061,79,0
3061,80,75.6
3061,90,86.2
3061,100,95.9
3061,110,104.8
3061,120,113.2
3061,130,120.7
2882,79,0
2882,80,75.6
2882,90,86.2
2882,100,95.9
2882,110,104.8
2882,120,113.2
2882,130,120.7
1565,79,0
1565,80,75.6
1565,90,86.2
1565,100,95.9
1565,110,104.8
1565,120,113.2
1565,130,120.7
1933,79,0
1933,80,75.6
1933,90,86.2
1933,100,96.3
1933,110,105.3
1933,120,113.6
1933,130,121.3
1933,140,128.4
1198,79,0
1198,80,75.6
1198,90,86.2
1198,100,95.9
1198,110,104.8
1198,120,113.2
1198,130,120.7
721,79,0
721,80,75.6
721,90,86.2
721,100,96.3
721,110,105.3
721,120,113.6
721,130,121.3
721,140,128.4
1207,79,0
1207,80,116.2
1207,90,132.7
1207,100,147.6
1207,110,161.3
1207,120,174.1
1207,130,185.7
1084,79,0
1084,80,120.8
1084,90,137.7
1084,100,153.8
1084,110,168.1
1084,120,181.4
1084,130,193.6
1084,140,205
1481,79,0
1481,80,120.8
1481,90,137.7
1481,100,153.8
1481,110,168.1
1481,120,181.4
1481,130,193.6
1481,140,205
643,79,0
643,80,120.8
643,90,137.7
643,100,153.8
643,110,168.1
643,120,181.4
643,130,193.6
643,140,205
3458,79,0
3458,80,116.2
3458,90,132.7
3458,100,147.6
3458,110,161.3
3458,120,174.1
3458,130,185.7
2803,79,0
2803,80,116.2
2803,90,132.7
2803,100,147.6
2803,110,161.3
2803,120,174.1
2803,130,185.7
3067,79,0
3067,80,116.2
3067,90,132.7
3067,100,147.6
3067,110,161.3
3067,120,174.1
3067,130,185.7
1571,79,0
1571,80,116.2
1571,90,132.7
1571,100,147.6
1571,110,161.3
1571,120,174.1
1571,130,185.7
480,79,0
480,80,116.2
480,90,132.7
480,100,147.6
480,110,161.3
480,120,174.1
480,130,185.7
814,79,0
814,80,75.6
814,90,86.2
814,100,95.9
814,110,104.8
814,120,113.2
814,130,120.7
2910,79,0
2910,80,75.6
2910,90,86.2
2910,100,96.3
2910,110,105.3
2910,120,113.6
2910,130,121.3
2910,140,128.4
468,79,0
468,80,75.6
468,90,86.2
468,100,95.9
468,110,104.8
468,120,113.2
468,130,120.7
3384,79,0
3384,80,60.4
3384,90,68.8
3384,100,76.9
3384,110,84
3384,120,90.7
3384,130,96.8
3384,140,102.5
3078,79,0
3078,80,60.4
3078,90,68.8
3078,100,76.9
3078,110,84
3078,120,90.7
3078,130,96.8
3078,140,102.5
1857,79,0
1857,80,60.4
1857,90,68.8
1857,100,76.9
1857,110,84
1857,120,90.7
1857,130,96.8
1857,140,102.5
1099,79,0
1099,80,60.4
1099,90,68.8
1099,100,76.9
1099,110,84
1099,120,90.7
1099,130,96.8
1099,140,102.5
3511,79,0
3511,80,60.4
3511,90,68.8
3511,100,76.9
3511,110,84
3511,120,90.7
3511,130,96.8
3511,140,102.5
504,79,0
504,80,60.4
504,90,68.8
504,100,76.9
504,110,84
504,120,90.7
504,130,96.8
504,140,102.5
348,79,0
348,80,60.4
348,90,68.8
348,100,76.9
348,110,84
348,120,90.7
348,130,96.8
348,140,102.5
3392,79,0
3392,80,120.8
3392,90,137.7
3392,100,153.8
3392,110,168.1
3392,120,181.4
3392,130,193.6
3392,140,205
2960,79,0
2960,80,120.8
2960,90,137.7
2960,100,153.8
2960,110,168.1
2960,120,181.4
2960,130,193.6
2960,140,205
2299,79,0
2299,80,120.8
2299,90,137.7
2299,100,153.8
2299,110,168.1
2299,120,181.4
2299,130,193.6
2299,140,205
3008,79,0
3008,80,183.6
3008,90,208.2
3008,100,232
2873,79,0
2873,80,183.6
2873,90,208.2
2873,100,232
2866,79,0
2866,80,211.1
2866,90,239.5
2866,100,266.8
3068,79,0
3068,80,406.9
3068,90,464.4
3068,100,516.5
3068,110,564.5
3068,120,609.5
3068,130,650
2888,79,0
2888,80,406.9
2888,90,464.4
2888,100,516.5
2888,110,564.5
2888,120,609.5
2888,130,650
823,79,0
823,80,406.9
823,90,464.4
823,100,516.5
823,110,564.5
823,120,609.5
823,130,650
2918,79,0
2918,80,353
2918,90,402.4
2918,100,449.6
2918,110,491.2
2918,120,530.2
2918,130,565.9
2918,140,599.1
2903,79,0
2903,80,353
2903,90,402.4
2903,100,449.6
2903,110,491.2
2903,120,530.2
2903,130,565.9
2903,140,599.1
1942,79,0
1942,80,353
1942,90,402.4
1942,100,449.6
1942,110,491.2
1942,120,530.2
1942,130,565.9
1942,140,599.1
731,79,0
731,80,353
731,90,402.4
731,100,449.6
731,110,491.2
731,120,530.2
731,130,565.9
731,140,599.1
2954,79,0
2954,80,138.9
2954,90,158.3
2954,100,176.8
2954,110,193.3
2954,120,208.6
2954,130,222.7
2954,140,235.7
1025,79,0
1025,80,138.9
1025,90,158.3
1025,100,176.8
1025,110,193.3
1025,120,208.6
1025,130,222.7
1025,140,235.7
635,79,0
635,80,138.9
635,90,158.3
635,100,176.8
635,110,193.3
635,120,208.6
635,130,222.7
635,140,235.7
3505,79,0
3505,80,138.9
3505,90,158.3
3505,100,176.8
3505,110,193.3
3505,120,208.6
3505,130,222.7
3505,140,235.7
1078,79,0
1078,80,138.9
1078,90,158.3
1078,100,176.8
1078,110,193.3
1078,120,208.6
1078,130,222.7
1078,140,235.7
3376,79,0
3376,80,138.9
3376,90,158.3
3376,100,176.8
3376,110,193.3
3376,120,208.6
3376,130,222.7
3376,140,235.7
1093,79,0
1093,80,138.9
1093,90,158.3
1093,100,176.8
1093,110,193.3
1093,120,208.6
1093,130,222.7
1093,140,235.7
495,79,0
495,80,138.9
495,90,158.3
495,100,176.8
495,110,193.3
495,120,208.6
495,130,222.7
495,140,235.7
3460,79,0
3460,80,406.9
3460,90,464.4
3460,100,516.5
3460,110,564.5
3460,120,609.5
3460,130,650
2805,79,0
2805,80,406.9
2805,90,464.4
2805,100,516.5
2805,110,564.5
2805,120,609.5
2805,130,650
1209,79,0
1209,80,406.9
1209,90,464.4
1209,100,516.5
1209,110,564.5
1209,120,609.5
1209,130,650
665,79,0
665,80,422.6
665,90,481.8
665,100,538.2
665,110,588.3
665,120,634.8
665,130,677.7
665,140,717.4
2946,79,0
2946,80,422.6
2946,90,481.8
2946,100,538.2
2946,110,588.3
2946,120,634.8
2946,130,677.7
2946,140,717.4
645,79,0
645,80,422.6
645,90,481.8
645,100,538.2
645,110,588.3
645,120,634.8
645,130,677.7
645,140,717.4
1573,79,0
1573,80,406.9
1573,90,464.4
1573,100,516.5
1573,110,564.5
1573,120,609.5
1573,130,650
482,79,0
482,80,406.9
482,90,464.4
482,100,516.5
482,110,564.5
482,120,609.5
482,130,650
2911,79,0
2911,80,428.6
2911,90,488.7
2911,100,545.9
2911,110,596.5
2911,120,643.8
2911,130,687.2
2911,140,727.5
1079,79,0
1079,80,464.9
1079,90,530
1079,100,592.1
1079,110,647.1
1079,120,698.3
1079,130,745.4
1079,140,789.2
1934,79,0
1934,80,428.6
1934,90,488.7
1934,100,545.9
1934,110,596.5
1934,120,643.8
1934,130,687.2
1934,140,727.5
2896,79,0
2896,80,428.6
2896,90,488.7
2896,100,545.9
2896,110,596.5
2896,120,643.8
2896,130,687.2
2896,140,727.5
722,79,0
722,80,428.6
722,90,488.7
722,100,545.9
722,110,596.5
722,120,643.8
722,130,687.2
722,140,727.5
3394,79,0
3394,80,422.6
3394,90,481.8
3394,100,538.2
3394,110,588.3
3394,120,634.8
3394,130,677.7
3394,140,717.4
1100,79,0
1100,80,422.6
1100,90,481.8
1100,100,538.2
1100,110,588.3
1100,120,634.8
1100,130,677.7
1100,140,717.4
505,79,0
505,80,422.6
505,90,481.8
505,100,538.2
505,110,588.3
505,120,634.8
505,130,677.7
505,140,717.4
2897,79,0
2897,80,504.2
2897,90,574.9
2897,100,642.2
2897,110,701.8
2897,120,757.4
2897,130,808.5
2897,140,855.9
2912,79,0
2912,80,504.2
2912,90,574.9
2912,100,642.2
2912,110,701.8
2912,120,757.4
2912,130,808.5
2912,140,855.9
1935,79,0
1935,80,504.2
1935,90,574.9
1935,100,642.2
1935,110,701.8
1935,120,757.4
1935,130,808.5
1935,140,855.9
1026,79,0
1026,80,464.9
1026,90,530
1026,100,592.1
1026,110,647.1
1026,120,698.3
1026,130,745.4
1026,140,789.2
723,79,0
723,80,504.2
723,90,574.9
723,100,642.2
723,110,701.8
723,120,757.4
723,130,808.5
723,140,855.9
2955,79,0
2955,80,464.9
2955,90,530
2955,100,592.1
2955,110,647.1
2955,120,698.3
2955,130,745.4
2955,140,789.2
3377,79,0
3377,80,464.9
3377,90,530
3377,100,592.1
3377,110,647.1
3377,120,698.3
3377,130,745.4
3377,140,789.2
496,79,0
496,80,464.9
496,90,530
496,100,592.1
496,110,647.1
496,120,698.3
496,130,745.4
496,140,789.2
3453,79,0
3453,80,505.6
3453,90,577.2
3453,100,642
3453,110,701.7
3453,120,757.5
3453,130,807.9
2798,79,0
2798,80,505.6
2798,90,577.2
2798,100,642
2798,110,701.7
2798,120,757.5
2798,130,807.9
3062,79,0
3062,80,505.6
3062,90,577.2
3062,100,642
3062,110,701.7
3062,120,757.5
3062,130,807.9
2883,79,0
2883,80,505.6
2883,90,577.2
2883,100,642
2883,110,701.7
2883,120,757.5
2883,130,807.9
1199,79,0
1199,80,505.6
1199,90,577.2
1199,100,642
1199,110,701.7
1199,120,757.5
1199,130,807.9
3454,79,0
3454,80,581.2
3454,90,663.4
3454,100,737.9
3454,110,806.5
3454,120,870.7
3454,130,928.6
3063,79,0
3063,80,581.2
3063,90,663.4
3063,100,737.9
3063,110,806.5
3063,120,870.7
3063,130,928.6
2442,79,0
2442,80,581.2
2442,90,663.4
2442,100,737.9
2442,110,806.5
2442,120,870.7
2442,130,928.6
1567,79,0
1567,80,581.2
1567,90,663.4
1567,100,737.9
1567,110,806.5
1567,120,870.7
1567,130,928.6
1200,79,0
1200,80,581.2
1200,90,663.4
1200,100,737.9
1200,110,806.5
1200,120,870.7
1200,130,928.6
816,79,0
816,80,581.2
816,90,663.4
816,100,737.9
816,110,806.5
816,120,870.7
816,130,928.6
470,79,0
470,80,581.2
470,90,663.4
470,100,737.9
470,110,806.5
470,120,870.7
470,130,928.6
1566,79,0
1566,80,505.6
1566,90,577.2
1566,100,642
1566,110,701.7
1566,120,757.5
1566,130,807.9
815,79,0
815,80,505.6
815,90,577.2
815,100,642
815,110,701.7
815,120,757.5
815,130,807.9
469,79,0
469,80,505.6
469,90,577.2
469,100,642
469,110,701.7
469,120,757.5
469,130,807.9
2875,79,0
2875,80,642.4
2875,90,728.8
2875,100,811.9
2867,79,0
2867,80,917.8
2867,90,1041.1
